SKU,Product Name,Finish,Image File,Image Folder,Image Path,Sort Order,Section,Category
D56U2-BLK,‘56 U2,Black,danelectro_d56u2-blk_black.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56u2-blk_black.png,1,Fretted Instruments,Electric Guitars
D57,‘57,Limo Black,danelectro_d57_black.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d57_black.png,1,Fretted Instruments,Electric Guitars
D57,‘57,Jade,danelectro_d57_jade.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d57_jade.png,2,Fretted Instruments,Electric Guitars
STOCK 59,Stock ‘59,Black,danelectro_stock-59_black.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_stock-59_black.png,1,Fretted Instruments,Electric Guitars
STOCK 59,Stock ‘59,Cream,danelectro_stock-59_cream.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_stock-59_cream.png,2,Fretted Instruments,Electric Guitars
STOCK 59,Stock ‘59,Red,danelectro_stock-59_red.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_stock-59_red.png,3,Fretted Instruments,Electric Guitars
STOCK 59,Stock ‘59,Aqua,danelectro_stock-59_aqua.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_stock-59_aqua.png,4,Fretted Instruments,Electric Guitars
STOCK 59,Stock ‘59,Vintage Aqua,danelectro_stock-59_vintage-aqua.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_stock-59_vintage-aqua.png,5,Fretted Instruments,Electric Guitars
D59M-PLUS,‘59M NOS+,Keen Green,danelectro_d59m-plus_keen-green.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_keen-green.png,1,Fretted Instruments,Electric Guitars
D59M-PLUS,‘59M NOS+,Ice Grey,danelectro_d59m-plus_ice-grey.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_ice-grey.png,2,Fretted Instruments,Electric Guitars
D59M-PLUS,‘59M NOS+,Red,danelectro_d59m-plus_red.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_red.png,3,Fretted Instruments,Electric Guitars
D59M-PLUS,‘59M NOS+,Copper,danelectro_d59m-plus_copper.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_copper.png,4,Fretted Instruments,Electric Guitars
D59M-PLUS,‘59M NOS+,Go Go Blue,danelectro_d59m-plus_go-go-blue.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_go-go-blue.png,5,Fretted Instruments,Electric Guitars
D59M-PLUS,‘59M NOS+,Baby Blue,danelectro_d59m-plus_baby-blue.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_baby-blue.png,6,Fretted Instruments,Electric Guitars
D59M-PLUS,‘59M NOS+,Black,danelectro_d59m-plus_black.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_black.png,7,Fretted Instruments,Electric Guitars
D59M-PLUS-MF,59M NOS+ Metalflake,Blue Metalflake,danelectro_d59m-plus-mf_blue-metalflake.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-mf_blue-metalflake.png,1,Fretted Instruments,Electric Guitars
D59M-PLUS-MF,59M NOS+ Metalflake,Silver Metalflake,danelectro_d59m-plus-mf_silver-metalflake.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-mf_silver-metalflake.png,2,Fretted Instruments,Electric Guitars
D59M-PLUS-MF,59M NOS+ Metalflake,Orange Metalflake,danelectro_d59m-plus-mf_orange-metalflake.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-mf_orange-metalflake.png,3,Fretted Instruments,Electric Guitars
D59M-PLUS-MF,59M NOS+ Metalflake,Red Metalflake,danelectro_d59m-plus-mf_red-metalflake.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-mf_red-metalflake.png,4,Fretted Instruments,Electric Guitars
D59M-PLUS-LFT,‘59M NOS+ Lefty,Black,danelectro_d59m-plus-lft_black.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-lft_black.png,1,Fretted Instruments,Electric Guitars
D59M-PLUS-LFT,‘59M NOS+ Lefty,Seafoam Green,danelectro_d59m-plus-lft_seafoam-green.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-lft_seafoam-green.png,2,Fretted Instruments,Electric Guitars
TRIPLE DIVINE,Triple Divine,Red,danelectro_triple-divine_red.png,Electric Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_triple-divine_red.png,1,Fretted Instruments,Electric Guitars
