path,width,height,format
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/applecreek_acd100k_default.jpg,3442,960,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/applecreek_acd150k_default.png,336,147,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/applecreek_acd200k_default.jpg,3096,1276,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_212-mk2_black.png,1800,1800,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_212-mk2_brown-sunburst.webp,1600,1600,WEBP
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_212-mk2_pink.jpg,1800,1800,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_313-bb-5-detroit_bourbon-barrel.png,1800,1800,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_313-bb-detroit_bourbon-barrel.png,1800,1800,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_313-jp-detroit-fretless_sunburst.jpeg,1800,1800,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_313-mk2_natural.jpg,1411,4647,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_313-mk2_sunburst.jpg,1411,4670,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_313-mkii-5_natural.jpeg,1400,4647,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_313-mkii-5_sunburst.jpeg,1423,4658,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_615-gh_brown.png,1557,4658,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_615-mk2_marble-white.png,1571,4682,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_615-mk2_turquoise-blue.png,1571,4704,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_615-wj-bk_black.jpeg,1769,5351,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_714-dg-fullerton_black.png,1800,1800,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_714-jh-fullerton_marble-white.jpg,1579,4646,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_714-mk2_black-diamond.jpg,1800,1800,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_714-mk2_ruby-red.jpg,1800,1800,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_714-mk2_turquoise-blue.jpg,1800,1800,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_714-std-fullerton_3-tone-sunburst.png,270,720,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_714-std-fullerton_black.png,245,720,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_714-std-fullerton_vintage-white.png,1459,3024,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_718mkii-opwh_black.png,1800,1800,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_718mkii-opwh_white.jpeg,1544,4579,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_dm206_3-tone-sunburst.jpeg,1924,5431,JPEG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_dm206_black-retro.png,1800,1800,PNG
