brand,sku,product_name,section,subcategory,finish,source_image,new_image,new_filename
Danelectro,D56U2-BLK,‘56 U2,Fretted Instruments,Electric Guitars,Black,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro ΓÇÿ56 U2.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56u2-blk_black.png,danelectro_d56u2-blk_black.png
Danelectro,D57,‘57,Fretted Instruments,Electric Guitars,Black,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro ΓÇÿ57 Black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d57_black.png,danelectro_d57_black.png
Danelectro,STOCK 59,Stock ‘59,Fretted Instruments,Electric Guitars,59 Aqua,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro Stock ΓÇÿ59 Aqua.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_stock-59_59-aqua.png,danelectro_stock-59_59-aqua.png
Danelectro,STOCK 59,Stock ‘59,Fretted Instruments,Electric Guitars,59 Black,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro Stock ΓÇÿ59 Black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_stock-59_59-black.png,danelectro_stock-59_59-black.png
Danelectro,STOCK 59,Stock ‘59,Fretted Instruments,Electric Guitars,59 Cream,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro Stock ΓÇÿ59 Cream.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_stock-59_59-cream.png,danelectro_stock-59_59-cream.png
Danelectro,STOCK 59,Stock ‘59,Fretted Instruments,Electric Guitars,59 Red,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro Stock ΓÇÿ59 Red.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_stock-59_59-red.png,danelectro_stock-59_59-red.png
Danelectro,STOCK 59,Stock ‘59,Fretted Instruments,Electric Guitars,59 Vintage Aqua,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro Stock ΓÇÿ59 Vintage Aqua.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_stock-59_59-vintage-aqua.png,danelectro_stock-59_59-vintage-aqua.png
Danelectro,D59M-PLUS,‘59M NOS+,Fretted Instruments,Electric Guitars,Baby Blue,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro ΓÇÿ59M NOS+ Baby Blue.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_baby-blue.png,danelectro_d59m-plus_baby-blue.png
Danelectro,D59M-PLUS,‘59M NOS+,Fretted Instruments,Electric Guitars,Black,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro ΓÇÿ59M NOS+ Black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_black.png,danelectro_d59m-plus_black.png
Danelectro,D59M-PLUS,‘59M NOS+,Fretted Instruments,Electric Guitars,Copper,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro ΓÇÿ59M NOS+ Copper.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_copper.png,danelectro_d59m-plus_copper.png
Danelectro,D59M-PLUS,‘59M NOS+,Fretted Instruments,Electric Guitars,Go Go Blue,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro ΓÇÿ59M NOS+ GoGo Blue.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_go-go-blue.png,danelectro_d59m-plus_go-go-blue.png
Danelectro,D59M-PLUS,‘59M NOS+,Fretted Instruments,Electric Guitars,Ice Grey,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro ΓÇÿ59M NOS+ Ice Grey.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_ice-grey.png,danelectro_d59m-plus_ice-grey.png
Danelectro,D59M-PLUS,‘59M NOS+,Fretted Instruments,Electric Guitars,Keen Green,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro ΓÇÿ59M NOS+ Keen Green.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_keen-green.png,danelectro_d59m-plus_keen-green.png
Danelectro,D59M-PLUS,‘59M NOS+,Fretted Instruments,Electric Guitars,Red,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro ΓÇÿ59M NOS+ Red.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_red.png,danelectro_d59m-plus_red.png
Danelectro,D59M-PLUS-MF,59M NOS+ Metalflake,Fretted Instruments,Electric Guitars,59m Nos+ Silver Metalflake,/Users/lpdmusic/Documents/New project/catalog-prototype/images-source/DANELECTRO/Electric Guitars/Danelectro 59M NOS+ Silver Metalflake.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-mf_59m-nos-silver-metalflake.png,danelectro_d59m-plus-mf_59m-nos-silver-metalflake.png
