sort_order,page,story_id,brand,top_category,subcategory,sku,product_name,description,colors,list_price,map_price,net_price,net_price_if_buy_4_or_more,net_price_if_buy_6_or_more,net_price_if_buy_10_or_more,net_price_if_buy_12_or_more,net_price_if_buy_20_or_more,net_price_if_buy_72_or_more,source_image_name,source_image_path
,,,Sennheiser,Pro Audio,Headphones,HD200PRO,Closed-Back Headphones,,,,89.00,71.25,,,,,,,,
,,,AKG,Pro Audio,Headphones,K371,Closed-Back Headphones,"K371s have deeper bass and higher highs than any other model in their class, with a stunning frequency response of 5 Hz to 40 kHz.",,,175.00,128.85,,,,,,,,
,,,CASIO,Pro Audio,Headphones,XW-H3,Lightweight Headphones,"Tough and lightweight, XW SERIES HEADPHONES are designed to keep pure sound flowing without interruption. ",,,99.00,39.99,,,,,,,,
,,,Sennheiser,Pro Audio,Headphones,HD280PRO,Closed-Back Headphones,,,,99.95,80.00,,,,,,,,
,,,AKG,Pro Audio,Headphones,K553MKII,Closed-Back Headphones,"AKG K553MKII 2” low-impedance drivers provide strong, accurate, and distinguished bass response. Extra-large soft ear pads ensure stress-free listening over long sessions.",,,229.00,172.09,,,,,,,,
,,,Audio-Technica,Pro Audio,Headphones,ATHM50XBT2,Bluetooth Headphones,,,,199.00,157.49,,,,,,,,
,,,Joyo,Pro Audio,Headphones,JMH-02,Monitor Headphones,"JMH-02 Professional Monitor Headphones deliver high resolution and well-balanced sound, with rich treble, smooth mids and clear bass. Closed back design eliminates background noise effectively, facilitating monitoring.",,,29.99,21.99,,,,,,,,
,,,Joyo,Pro Audio,Headphones,JMH-04,Studio Headphones,"The JMH-04 monitor headphones adopts high-definition 40mm driver and compact earcups, ultra-soft ear cushions design, delivering exceptionally clear sound.",,,19.99,10.99,,,,,,,,
,,,Joyo,Pro Audio,Headphones,JMH-01,Monitor Headphones,"JOYO JMH-01 professional monitor headphones have a spacious sound field, reproducing the sound faithfully. 50mm large aperture drivers with rare-earth magnets and copper-clad aluminum wire voice coils. Exceptional clarity throughout an extended frequency range, with much deeper, more accurate bass response. ",,,49.99,34.99,,,,,,,,
,,,Joyo,Pro Audio,Headphones,XW-H2,Over Ear Headphones,"The XW Series are the beginning of a new era at Casio. Featuring a powerful monophonic lead synth, an unprecedented built-in step sequencer and performance controller functions, its no wonder the XW-P1 has won numerous awards from the industry's leading publications. ",,,99.00,39.99,,,,,,,,
,,,Vic Firth,Pro Audio,Headphones,SIH3,Stereo Iso Headphones,"Offering 25dB of noise reduction, they protect your ears while letting you listen with confidence. Enjoy rich bass, crisp mids, and clear highs for an optimal listening experience.",,87.95,,64.50,,,,,,,,
,,,Cascha,Pro Audio,Microphones,HH5080,Dynamic Stage Microphone Set,"The Cascha Stage Dynamic Microphone is a true allrounder with high-quality sound, and the included microphone clamp and 10ft long XLR cable round off the set perfectly and offers an immediate entry into the world of music.",,39.99,,20.99,,,,,,,,
,,,AKG,Pro Audio,Microphones,C44-USB,Condenser Microphone,,,,149.00,118.46,,,,,,,,
,,,AKG,Pro Audio,Microphones,P420,Large-Diaphragm Condenser Mic,,,,199.00,160.97,,,,,,,,
,,,Audio-Technica,Pro Audio,Microphones,AT829CW,Cardioid Condenser Mic,Cardioid Condenser Lavalier mic with clip. Terminated with locking 4-pin connector for A-T UniPak® body-pack wireless transmitters. 55” cable.,,,69.00,57.00,,,,,,,,
,,,Audio-Technica,Pro Audio,Microphones,PRO35,Cardioid Condenser Mic,,,,149.00,114.73,,,,,,,,
,,,Audio-Technica,Pro Audio,Microphones,ATM610A,Hypercardioid Dynamic Mic,,,,149.00,115.50,,,,,,,,
,,,Sennheiser,Pro Audio,Microphones,E845,Super Cardioid Vocal Mic,"Dynamic super-cardioid vocal mic, which helps to reduce spill and feedback. Ideal for presentations, conferences, choirs, rehearsal rooms, and stage. Easily eliminates ambient noise. Superb high frequency reproduction.",,,109.00,87.25,,,,,,,,
,,,Sennheiser,Pro Audio,Microphones,E835S,Dynamic Cardioid Vocal Mic,"Dynamic cardioid microphone designed for speech and vocals. With a solid sound that cuts through high volumes on stage. Intended for home recording, semi-pro studios and live sound applications. Extra on/off switch.",,,99.95,80.00,,,,,,,,
,,,Sennheiser,Pro Audio,Microphones,MD421II,Dynamic Cardioid Mic,Easy handling due to pronounced directivity. Clear sound reproduction. For most recording conditions and broadcasting applications. Five-position bass control.,,,399.95,320.00,,,,,,,,
,,,Sennheiser,Pro Audio,Microphones,E835,Dynamic Cardioid Vocal Mic,"Dynamic cardioid microphone designed for speech and vocals. Produces a solid sound that projects well and cuts through high volumes on stage. Intended for home recording, semi-pro studios and live sound applications.",,,99.95,80.00,,,,,,,,
,,,Sennheiser,Pro Audio,Microphones,3PKE835,Dynamic Cardioid Vocal Mic,"Dynamic cardioid microphone designed for speech and vocals. Produces a solid sound that projects well and cuts through high volumes on stage. Intended for home recording, semi-pro studios and live sound applications.",,,279.00,223.00,,,,,,,,
,,,Sennheiser,Pro Audio,Microphones,E935,Dynamic Cardioid Vocal Mic,"Dynamic cardioid vocal microphone offering a smooth, natural sound. Fast transient response ensures no details are missed. Low handling noise. 100% metal casing for tough on-stage use.",,,199.95,160.00,,,,,,,,
,,,Sennheiser,Pro Audio,Microphones,E945,Dynamic Cardioid Vocal Mic,Dynamic super-cardioid vocal microphone with a narrower pick-up pattern. Powerful and rich in detail. The ideal choice when the vocals really have to cut through. Low handling noise. 100% metal casing for tough on-stage use.,,,219.00,175.00,,,,,,,,
,,,Sennheiser,Pro Audio,Microphones,XS-1,Dynamic Cardioid Vocal Mic,"The Sennheiser XS 1 is a remarkable entry-level microphone because it offers professional features that more experienced artists expect. This makes it ideal for a variety of settings, from live stage environments to quiet studio recordings. Backed by years of Sennheiser engineering, the XS 1 produces a clear and full-bodied sound, allowing your vocals to cut through the mix with ease.",,,55.00,44.00,,,,,,,,
,,,Sennheiser,Pro Audio,Microphones,E609S,Super Cardioid Guitar Mic,"Super-cardioid silver instrument microphone designed for miking guitar cabs face-on and extremely close to the source. Provides isolation from other onstage signals. Also suitable for miking drums, especially toms.",,,99.95,80.00,,,,,,,,
